user_id,university_id,first_name,last_name,email,password
0,132903,Michael,Leven,MichaelLeven@gmail.com,test123
1,137087,Andrew,Thompson,AndrewThompson@gmail.com,test123
2,200086,Tim,Downey,TimDowney@gmail.com,test123
3,195526,Elizabeth,Arguelles,ElizabethArguelles@gmail.com,test123
4,102234,Stephen,Lunsford,StephenLunsford@gmail.com,test123
5,243188,Ezra,Miller,EzraMiller@gmail.com,test123
6,447689,Thelma,Hobson,ThelmaHobson@gmail.com,test123
7,220057,Kenneth,White,KennethWhite@gmail.com,test123
8,221999,Louis,Schmidt,LouisSchmidt@gmail.com,test123
9,200192,Lynn,Harper,LynnHarper@gmail.com,test123
10,179894,Audrey,Greene,AudreyGreene@gmail.com,test123
11,243203,Lewis,Tuplano,LewisTuplano@gmail.com,test123
12,180948,Lucille,Bradford,LucilleBradford@gmail.com,test123
13,128328,Scott,Money,ScottMoney@gmail.com,test123
14,144005,Henry,Rosmarin,HenryRosmarin@gmail.com,test123
15,187134,Martin,Swanson,MartinSwanson@gmail.com,test123
16,221184,Jorge,Alford,JorgeAlford@gmail.com,test123
17,440262,Donald,Davila,DonaldDavila@gmail.com,test123
18,134079,Craig,Medas,CraigMedas@gmail.com,test123
19,185262,Bryan,Toro,BryanToro@gmail.com,test123
20,196033,Dale,Forster,DaleForster@gmail.com,test123
21,236513,James,Stokes,JamesStokes@gmail.com,test123
22,167288,Lonnie,Nadeau,LonnieNadeau@gmail.com,test123
23,199069,Jane,Ruano,JaneRuano@gmail.com,test123
24,123961,Dena,Schofield,DenaSchofield@gmail.com,test123
25,152099,James,Mercardo,JamesMercardo@gmail.com,test123
26,243212,Michael,Young,MichaelYoung@gmail.com,test123
27,218539,Alice,Watson,AliceWatson@gmail.com,test123
28,160649,Annette,Booker,AnnetteBooker@gmail.com,test123
29,221971,Patrice,Shaw,PatriceShaw@gmail.com,test123
30,223506,Ricardo,Brennan,RicardoBrennan@gmail.com,test123
31,174738,Otha,Martin,OthaMartin@gmail.com,test123
32,178402,Robert,Confalone,RobertConfalone@gmail.com,test123
33,240277,Daniel,Bucklin,DanielBucklin@gmail.com,test123
34,188429,Graham,Harris,GrahamHarris@gmail.com,test123
35,156338,Daniel,Craig,DanielCraig@gmail.com,test123
36,438285,Larry,Koch,LarryKoch@gmail.com,test123
37,147828,Teresa,Dunn,TeresaDunn@gmail.com,test123
38,220279,Loretta,Moody,LorettaMoody@gmail.com,test123
39,137078,Josefina,Davis,JosefinaDavis@gmail.com,test123
40,185129,Maria,Pecatoste,MariaPecatoste@gmail.com,test123
41,190549,Robert,Velasquez,RobertVelasquez@gmail.com,test123
42,214616,Petra,Jones,PetraJones@gmail.com,test123
43,235316,Glenda,Roselli,GlendaRoselli@gmail.com,test123
44,230737,Jerry,Nunez,JerryNunez@gmail.com,test123
45,148131,Robert,Tejera,RobertTejera@gmail.com,test123
46,238263,Michael,Fitzgerald,MichaelFitzgerald@gmail.com,test123
47,226231,Harriet,Black,HarrietBlack@gmail.com,test123
48,188438,Howard,Quinn,HowardQuinn@gmail.com,test123
49,167598,Laurie,Rousey,LaurieRousey@gmail.com,test123
50,243106,Kevin,Bedell,KevinBedell@gmail.com,test123
51,142276,Mitzi,Johnson,MitziJohnson@gmail.com,test123
52,110097,Helen,Oneill,HelenOneill@gmail.com,test123
53,133508,Jeremy,Lee,JeremyLee@gmail.com,test123
54,217420,Kay,Segovia,KaySegovia@gmail.com,test123
55,232025,Irene,Kelly,IreneKelly@gmail.com,test123
